CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2005,2006,2007,2008
5,ANTIOQUIA,5001,MEDELLÍN,294.25,,,
5,ANTIOQUIA,5031,AMALFI,,569.82,251.09,148.93
5,ANTIOQUIA,5040,ANORÍ,"1,533.97","1,354.83","1,947.99",952.95
5,ANTIOQUIA,5055,ARGELIA,,,,
5,ANTIOQUIA,5107,BRICEÑO,,165.03,,
5,ANTIOQUIA,5120,CÁCERES,"3,883.55","1,064.21","2,298.05","1,339.48"
5,ANTIOQUIA,5142,CARACOLÍ,"1,444.72",,,
5,ANTIOQUIA,5154,CAUCASIA,179.19,,438.87,
5,ANTIOQUIA,5209,CONCORDIA,89.53,,,
5,ANTIOQUIA,5250,EL BAGRE,280.44,"1,063.32","4,534.54","1,876.33"
5,ANTIOQUIA,5361,ITUANGO,1.89,108.70,65.45,
5,ANTIOQUIA,5483,NARIÑO,34.15,55.67,,
5,ANTIOQUIA,5495,NECHÍ,422.71,"1,188.25","1,817.85",711.87
5,ANTIOQUIA,5585,PUERTO NARE,166.60,365.06,110.93,21.52
5,ANTIOQUIA,5591,PUERTO TRIUNFO,,3.20,306.17,
5,ANTIOQUIA,5649,SAN CARLOS,,,,
5,ANTIOQUIA,5652,SAN FRANCISCO,,266.80,,93.24
5,ANTIOQUIA,5660,SAN LUIS,148.86,406.05,106.47,
5,ANTIOQUIA,5670,SAN ROQUE,,,,
5,ANTIOQUIA,5736,SEGOVIA,54.09,246.68,"1,092.24",790.88
5,ANTIOQUIA,5756,SONSÓN,242.23,240.16,141.73,89.44
5,ANTIOQUIA,5789,TÁMESIS,71.98,,,
5,ANTIOQUIA,5790,TARAZÁ,"6,095.36","7,582.70","9,615.96","2,556.48"
5,ANTIOQUIA,5854,VALDIVIA,995.06,"1,783.40","2,320.12",555.71
5,ANTIOQUIA,5893,YONDÓ,292.73,,,297.61
5,ANTIOQUIA,5895,ZARAGOZA,602.15,"1,558.06","2,010.51",593.54
13,BOLÍVAR,13006,ACHÍ,,,,25.05
13,BOLÍVAR,13030,ALTOS DEL ROSARIO,49.56,,,
13,BOLÍVAR,13042,ARENAL,105.32,302.35,170.86,
13,BOLÍVAR,13074,BARRANCO DE LOBA,221.32,,,
13,BOLÍVAR,13160,CANTAGALLO,"1,207.09",,214.72,387.38
13,BOLÍVAR,13268,EL PEÑÓN,47.37,,,
13,BOLÍVAR,13442,MARÍA LA BAJA,"1,569.37",,,
13,BOLÍVAR,13458,MONTECRISTO,,68.14,"2,265.02",827.73
13,BOLÍVAR,13473,MORALES,,190.02,96.67,
13,BOLÍVAR,13600,RÍO VIEJO,328.94,219.30,52.71,
13,BOLÍVAR,13654,SAN JACINTO,,,,48.59
13,BOLÍVAR,13655,SAN JACINTO DEL CAUCA,30.72,109.75,,
13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,309.38,,,
13,BOLÍVAR,13670,SAN PABLO,,341.52,"1,679.58",650.69
13,BOLÍVAR,13683,SANTA ROSA,,170.27,,
13,BOLÍVAR,13688,SANTA ROSA DEL SUR,"1,418.23",633.52,"1,443.26",
13,BOLÍVAR,13744,SIMITÍ,"1,121.79",572.25,"1,126.88",15.13
13,BOLÍVAR,13810,TIQUISIO,,54.92,,259.42
15,BOYACÁ,15442,MARIPÍ,,24.37,,
15,BOYACÁ,15480,MUZO,77.81,,,
15,BOYACÁ,15507,OTANCHE,,109.70,,
15,BOYACÁ,15531,PAUNA,49.78,51.72,,
15,BOYACÁ,15572,PUERTO BOYACÁ,797.77,644.72,,165.65
17,CALDAS,17495,NORCASIA,,,,
17,CALDAS,17541,PENSILVANIA,,23.20,,
17,CALDAS,17662,SAMANÁ,"1,039.29","1,006.17",283.66,
17,CALDAS,17867,VICTORIA,50.70,39.08,,
18,CAQUETÁ,18001,FLORENCIA,114.12,,68.09,53.41
